STRUCTURE,STRUCTURE_ID,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EL,2011,93850,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EL,2012,99470,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EL,2013,95223,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EL,2014,97277,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EL,2015,104653,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EL,2016,102188,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EL,2017,108106,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EL,2018,104213,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EL,2019,108770,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EL,2020,114516,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EU27_2020,2011,3485240,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EU27_2020,2012,3618227,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EU27_2020,2013,3612213,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EU27_2020,2014,3584869,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EU27_2020,2015,3824566,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EU27_2020,2016,3757804,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EU27_2020,2017,3892548,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EU27_2020,2018,3924165,p
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EU27_2020,2019,3910714,p
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EU27_2020,2020,4400885,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,F01_F03,TOT_IN,EL,2011,87,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,F01_F03,TOT_IN,EL,2012,92,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,F01_F03,TOT_IN,EL,2013,113,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,F01_F03,TOT_IN,EL,2014,575,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,F01_F03,TOT_IN,EL,2015,980,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,F01_F03,TOT_IN,EL,2016,1225,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,F01_F03,TOT_IN,EL,2017,1601,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,F01_F03,TOT_IN,EL,2018,1692,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,F01_F03,TOT_IN,EL,2019,1926,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,F01_F03,TOT_IN,EL,2020,2255,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,F01_F03,TOT_IN,EU27_2020,2011,87072,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,F01_F03,TOT_IN,EU27_2020,2012,99592,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,F01_F03,TOT_IN,EU27_2020,2013,109690,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,F01_F03,TOT_IN,EU27_2020,2014,112783,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,F01_F03,TOT_IN,EU27_2020,2015,133436,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,F01_F03,TOT_IN,EU27_2020,2016,137849,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,F01_F03,TOT_IN,EU27_2020,2017,151503,
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,F01_F03,TOT_IN,EU27_2020,2018,162101,p
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,F01_F03,TOT_IN,EU27_2020,2019,164552,p
dataflow,ESTAT:HLTH_CD_ARO(1.0),A,NR,T,Y_GE65,F01_F03,TOT_IN,EU27_2020,2020,162076,
