DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,AT,2018,70728,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BE,2018,93688,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BG,2018,85303,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CH,2018,58302,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CY,2018,4987,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CZ,2018,93146,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DE,2018,816663,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DK,2018,46853,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EE,2018,12554,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EL,2018,104213,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,ES,2018,368002,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EU27_2020,2018,3924165,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FI,2018,46501,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FX,2018,499540,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,HR,2018,44004,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,HU,2018,101557,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,IE,2018,25547,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,IS,2018,1842,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,IT,2018,561699,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,LT,2018,30421,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,LU,2018,3386,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,LV,2018,21991,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,MT,2018,3124,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,NL,2018,130136,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,NO,2018,34841,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,PL,2018,314072,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,PT,2018,96937,
