DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,DEATHS,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,AT,2011,62665,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,AT,2012,65819,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,AT,2013,66125,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,AT,2014,65132,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,AT,2015,69962,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,AT,2016,67772,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,AT,2017,70399,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,AT,2018,70728,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,AT,2019,70549,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,AT,2020,78020,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BE,2011,85186,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BE,2012,90045,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BE,2013,90695,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BE,2014,86972,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BE,2015,92323,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BE,2016,90432,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BE,2017,91790,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BE,2018,93688,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BE,2019,92400,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BE,2020,109681,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BG,2011,82882,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BG,2012,84746,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BG,2013,80746,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BG,2014,84341,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BG,2015,86308,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BG,2016,83743,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BG,2017,86436,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BG,2018,85303,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BG,2019,85275,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,BG,2020,98508,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CH,2011,52822,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CH,2012,54847,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CH,2013,55703,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CH,2014,55046,
