geo,TIME_PERIOD,POPULATION,GDP_per_Capita,DEMENTIA DEATHS,DEATHS,DEMENTIA_DEATHS per 100K DEATHS
AT,2011,8375164,36300,266,62665,424
AT,2012,8408121,36390,541,65819,821
AT,2013,8451860,36180,938,66125,1418
AT,2014,8507786,36130,894,65132,1372
AT,2015,8584926,36140,1109,69962,1585
AT,2016,8700471,36390,1479,67772,2182
AT,2017,8772865,36980,2338,70399,3321
AT,2018,8822267,37690,2654,70728,3752
AT,2019,8858775,38090,2653,70549,3760
AT,2020,8901064,35480,2451,78020,3141
BE,2011,11000638,33460,3148,85186,3695
BE,2012,11075889,33490,3814,90045,4235
BE,2013,11137974,33490,4126,90695,4549
BE,2014,11180840,33870,3875,86972,4455
BE,2015,11237274,34360,4496,92323,4869
BE,2016,11311117,34620,4448,90432,4918
BE,2017,11351727,35050,4720,91790,5142
BE,2018,11398589,35510,4743,93688,5062
BE,2019,11455519,36120,4957,92400,5364
BE,2020,11522440,34020,4609,109681,4202
BG,2011,7369431,5320,11,82882,13
BG,2012,7327224,5390,27,84746,31
BG,2013,7284552,5390,38,80746,47
BG,2014,7245677,5470,16,84341,18
BG,2015,7202198,5700,23,86308,26
BG,2016,7153784,5910,30,83743,35
BG,2017,7101859,6120,26,86436,30
BG,2018,7050034,6330,32,85303,37
BG,2019,7000039,6630,28,85275,32
BG,2020,6951482,6410,60,98508,60
CH,2011,7870134,58220,3706,52822,7016
CH,2012,7954662,58290,4075,54847,7429
CH,2013,8039060,58650,4345,55703,7800
CH,2014,8139631,59300,4198,55046,7626
CH,2015,8237666,59600,4725,58590,8064
CH,2016,8327126,60170,4321,56217,7686
CH,2017,8419550,60420,4958,58150,8526
CH,2018,8484130,61690,4842,58302,8305
CH,2019,8544527,61950,5062,59439,8516
CH,2020,8606033,60040,5079,67467,7528
CY,2011,839751,22970,72,4420,1628
CY,2012,862011,21840,77,4659,1652
CY,2013,865878,20450,82,4342,1888
CY,2014,858000,20310,100,4595,2176
CY,2015,847008,21120,142,4992,2844
CY,2016,848319,22410,153,4659,3283
CY,2017,854802,23470,193,5183,3723
CY,2018,864236,24500,250,4987,5013
CY,2019,875899,25500,251,5357,4685
CY,2020,888005,24120,218,5505,3960
CZ,2011,10486731,15310,698,82385,847
CZ,2012,10505445,15170,752,84659,888
CZ,2013,10516125,15160,994,86599,1147
CZ,2014,10512419,15480,1018,84464,1205
CZ,2015,10538275,16290,1266,90307,1401
CZ,2016,10553843,16670,1203,87693,1371
CZ,2017,10578820,17490,1520,91500,1661
CZ,2018,10610055,17990,1477,93146,1585
CZ,2019,10649800,18460,1578,93128,1694
CZ,2020,10693939,17400,1731,109317,1583
DE,2011,80222065,33200,20384,714206,2854
DE,2012,80327900,33280,23886,733322,3257
DE,2013,80523746,33330,28388,755285,3758
DE,2014,80767463,33920,28666,732824,3911
DE,2015,81197537,34130,36437,785533,4638
DE,2016,82175684,34610,38036,772513,4923
DE,2017,82521653,35410,44258,796608,5555
DE,2018,82792351,35650,49825,816663,6101
DE,2019,83019213,35950,50050,805386,6214
DE,2020,83166711,34590,51009,849176,6006
DK,2011,5560628,44240,2150,42693,5035
DK,2012,5580516,44170,2233,42945,5199
DK,2013,5602628,44410,2292,43319,5290
DK,2014,5627235,44890,2359,42341,5571
DK,2015,5659715,45630,2522,43752,5764
DK,2016,5707251,46720,2688,44052,6101
DK,2017,5748769,47740,2870,44941,6386
DK,2018,5781190,48450,3165,46853,6755
DK,2019,5806081,48970,2980,45889,6493
DK,2020,5822763,47890,2788,46864,5949
EE,2011,1329660,11890,23,11383,202
EE,2012,1325217,12320,28,11628,240
EE,2013,1320174,12540,35,11813,296
EE,2014,1315819,12960,40,11920,335
EE,2015,1314870,13230,25,11949,209
EE,2016,1315944,13620,39,11999,325
EE,2017,1315635,14410,71,12346,575
EE,2018,1319133,14920,77,12554,613
EE,2019,1324820,15410,115,12336,932
EE,2020,1328976,15280,106,12624,839
EL,2011,11123392,18130,87,93850,92
EL,2012,11086406,16940,92,99470,92
EL,2013,11003615,16630,113,95223,118
EL,2014,10926807,16830,575,97277,591
EL,2015,10858018,16900,980,104653,936
EL,2016,10783748,16890,1225,102188,1198
EL,2017,10768193,17110,1601,108106,1480
EL,2018,10741165,17430,1692,104213,1623
EL,2019,10724599,17780,1926,108770,1770
EL,2020,10718565,16210,2255,114516,1969
ES,2011,46667174,22770,14477,326155,4438
ES,2012,46818219,22080,16250,341900,4752
ES,2013,46727890,21850,16210,330935,4898
ES,2014,46512199,22220,17768,337099,5270
ES,2015,46449565,23090,20339,363218,5599
ES,2016,46440099,23780,20057,351664,5703
ES,2017,46528024,24440,20909,365527,5720
ES,2018,46658447,24890,21527,368002,5849
ES,2019,46937060,25180,22026,359736,6122
ES,2020,47332614,22210,20755,429596,4831
