DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,POPULATION,OBS_FLAG
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,AT,2011,8375164,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,AT,2012,8408121,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,AT,2013,8451860,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,AT,2014,8507786,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,AT,2015,8584926,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,AT,2016,8700471,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,AT,2017,8772865,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,AT,2018,8822267,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,AT,2019,8858775,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,AT,2020,8901064,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,BE,2011,11000638,b
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,BE,2012,11075889,b
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,BE,2013,11137974,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,BE,2014,11180840,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,BE,2015,11237274,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,BE,2016,11311117,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,BE,2017,11351727,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,BE,2018,11398589,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,BE,2019,11455519,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,BE,2020,11522440,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,BG,2011,7369431,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,BG,2012,7327224,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,BG,2013,7284552,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,BG,2014,7245677,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,BG,2015,7202198,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,BG,2016,7153784,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,BG,2017,7101859,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,BG,2018,7050034,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,BG,2019,7000039,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,BG,2020,6951482,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CH,2011,7870134,b
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CH,2012,7954662,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CH,2013,8039060,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CH,2014,8139631,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CH,2015,8237666,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CH,2016,8327126,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CH,2017,8419550,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CH,2018,8484130,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CH,2019,8544527,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CH,2020,8606033,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CY,2011,839751,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CY,2012,862011,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CY,2013,865878,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CY,2014,858000,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CY,2015,847008,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CY,2016,848319,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CY,2017,854802,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CY,2018,864236,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CY,2019,875899,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CY,2020,888005,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CZ,2011,10486731,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CZ,2012,10505445,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CZ,2013,10516125,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CZ,2014,10512419,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CZ,2015,10538275,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CZ,2016,10553843,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CZ,2017,10578820,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CZ,2018,10610055,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CZ,2019,10649800,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,CZ,2020,10693939,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,DE,2011,80222065,b
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,DE,2012,80327900,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,DE,2013,80523746,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,DE,2014,80767463,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,DE,2015,81197537,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,DE,2016,82175684,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,DE,2017,82521653,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,DE,2018,82792351,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,DE,2019,83019213,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,DE,2020,83166711,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,DK,2011,5560628,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,DK,2012,5580516,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,DK,2013,5602628,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,DK,2014,5627235,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,DK,2015,5659715,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,DK,2016,5707251,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,DK,2017,5748769,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,DK,2018,5781190,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,DK,2019,5806081,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,DK,2020,5822763,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EE,2011,1329660,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EE,2012,1325217,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EE,2013,1320174,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EE,2014,1315819,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EE,2015,1314870,b
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EE,2016,1315944,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EE,2017,1315635,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EE,2018,1319133,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EE,2019,1324820,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EE,2020,1328976,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EL,2011,11123392,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EL,2012,11086406,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EL,2013,11003615,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EL,2014,10926807,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EL,2015,10858018,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EL,2016,10783748,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EL,2017,10768193,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EL,2018,10741165,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EL,2019,10724599,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EL,2020,10718565,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,ES,2011,46667174,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,ES,2012,46818219,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,ES,2013,46727890,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,ES,2014,46512199,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,ES,2015,46449565,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,ES,2016,46440099,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,ES,2017,46528024,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,ES,2018,46658447,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,ES,2019,46937060,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,ES,2020,47332614,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EU27_2020,2011,439942305,b
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EU27_2020,2012,440552661,b
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EU27_2020,2013,441257711,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EU27_2020,2014,442883888,b
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EU27_2020,2015,443666812,b
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EU27_2020,2016,444802830,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EU27_2020,2017,445534430,b
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EU27_2020,2018,446208557,e
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EU27_2020,2019,446559279,be
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,EU27_2020,2020,447485231,e
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,FI,2011,5375276,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,FI,2012,5401267,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,FI,2013,5426674,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,FI,2014,5451270,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,FI,2015,5471753,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,FI,2016,5487308,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,FI,2017,5503297,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,FI,2018,5513130,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,FI,2019,5517919,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,FI,2020,5525292,
ESTAT:TPS00001(1.0),14/04/23 23:00:00,A,JAN,FR,2011,64978721,
